,total_mfg,cap_intensive,cap_ratio,lab_intensive,lab_ratio,avg_hours
1990-01-01,17852.666666666668,581.6333333333333,3.2579633294745878,616.6999999999999,3.454385899398782,40.56666666666667
1990-04-01,17805.333333333332,575.4333333333334,3.2318032050322008,608.1666666666666,3.4156432529579153,40.56666666666667
1990-07-01,17654.0,571.8666666666667,3.239303651674786,598.4666666666667,3.3899777198746275,40.53333333333333
1990-10-01,17466.666666666668,566.8666666666667,3.2454198473282436,585.1,3.3498091603053433,40.300000000000004
1991-01-01,17227.666666666668,560.2666666666667,3.2521331966023643,567.9,3.2964417700210897,40.1
1991-04-01,17069.666666666668,552.2666666666668,3.2353687828311433,560.9333333333333,3.286141108008357,40.233333333333334
1991-07-01,17017.0,542.5666666666667,3.1883802472037774,558.5,3.2820121055415172,40.56666666666667
1991-10-01,16959.0,531.0666666666667,3.131473946970144,559.1999999999999,3.297364231381567,40.63333333333333
1992-01-01,16824.0,522.5333333333333,3.1058804881914726,557.9,3.316096053257252,40.666666666666664
1992-04-01,16830.333333333332,519.0,3.0837178903170863,562.3666666666667,3.3413875740230936,40.833333333333336
1992-07-01,16787.333333333332,518.0,3.085659822882332,564.9666666666667,3.3654342559866572,40.766666666666666
1992-10-01,16759.666666666668,518.5,3.0937369478311023,566.5333333333333,3.380337715547246,40.86666666666667
1993-01-01,16796.333333333332,520.1,3.0965091587449645,570.9666666666667,3.399353033400147,41.0
1993-04-01,16760.0,519.6999999999999,3.1008353221957035,574.0333333333333,3.4250198886237073,41.13333333333333
1993-07-01,16750.0,517.6,3.0901492537313433,575.5,3.435820895522388,41.166666666666664
1993-10-01,16797.666666666668,520.3666666666667,3.0978508919889665,582.2333333333333,3.4661560137320655,41.333333333333336
1994-01-01,16871.333333333332,523.8000000000001,3.1046745959615922,588.6666666666666,3.4891531987197215,41.333333333333336
1994-04-01,16967.666666666668,530.5,3.12653478183997,596.5,3.515509891362002,41.766666666666666
1994-07-01,17073.333333333332,539.2333333333333,3.1583365872705977,606.4333333333333,3.551932838734869,41.699999999999996
1994-10-01,17182.666666666668,547.2333333333332,3.1847986342826093,611.4666666666667,3.558624970900908,41.8
1995-01-01,17263.666666666668,555.7333333333332,3.2190921202525526,614.1333333333333,3.557374833465274,41.666666666666664
1995-04-01,17261.0,564.0333333333333,3.267674719502539,608.6333333333333,3.5260606762837226,41.1
1995-07-01,17235.0,575.4,3.3385552654482153,602.9,3.4981143022918477,41.199999999999996
1995-10-01,17218.333333333332,588.7333333333332,3.419223695673216,604.0333333333333,3.5080824702352147,41.13333333333333
1996-01-01,17210.333333333332,599.0666666666666,3.4808545253820378,602.9,3.5031279657570065,40.699999999999996
1996-04-01,17217.333333333332,604.3000000000001,3.5098350499496638,602.5333333333333,3.499574072639975,41.333333333333336
1996-07-01,17243.0,610.3333333333334,3.5396006108759113,604.8333333333334,3.507703609194069,41.5
1996-10-01,17276.333333333332,613.0666666666667,3.548592486831697,607.0333333333333,3.5136699531150515,41.53333333333333
1997-01-01,17317.333333333332,621.1666666666666,3.5869648906683094,609.2666666666667,3.5182476131813982,41.6
1997-04-01,17367.333333333332,633.0333333333333,3.6449656443130785,612.6666666666666,3.5276956738704843,41.699999999999996
1997-07-01,17435.333333333332,646.9,3.7102818032348104,615.9333333333334,3.5326731158949265,41.666666666666664
1997-10-01,17552.333333333332,658.2666666666668,3.750308600945744,623.3000000000001,3.55109482120136,41.86666666666667
1998-01-01,17627.666666666668,663.7333333333333,3.765293194410302,632.2333333333332,3.586596826957623,41.699999999999996
1998-04-01,17622.666666666668,658.2666666666667,3.7353408489067106,639.8000000000001,3.6305515623817812,41.36666666666667
1998-07-01,17514.333333333332,645.4666666666667,3.6853624650286436,643.5333333333333,3.6743238871019925,41.36666666666667
1998-10-01,17475.666666666668,632.1666666666666,3.617410876075304,649.4666666666667,3.716405668834761,41.43333333333333
1999-01-01,17396.666666666668,624.5666666666666,3.590151369994251,655.7333333333333,3.769304464456792,41.333333333333336
1999-04-01,17323.333333333332,628.4333333333334,3.627669809505484,660.3333333333334,3.811814508370214,41.333333333333336
1999-07-01,17292.333333333332,631.6999999999999,3.6530639782562604,669.2333333333333,3.8701158509551443,41.43333333333333
1999-10-01,17278.333333333332,637.2666666666668,3.6882415356419416,674.7666666666668,3.9052763576733875,41.4
2000-01-01,17290.0,645.2666666666667,3.732022363601311,679.2333333333333,3.9284750337381915,41.46666666666667
2000-04-01,17290.666666666668,661.6333333333333,3.826534546576187,680.6,3.93622763726095,41.36666666666667
2000-07-01,17279.333333333332,690.4666666666667,3.995910336046916,682.2666666666667,3.9484548014969714,41.233333333333334
2000-10-01,17200.0,707.6,4.1139534883720925,679.2666666666668,3.949224806201551,40.833333333333336
2001-01-01,17024.333333333332,710.4666666666667,4.173242221917648,668.9,3.929081902375032,40.56666666666667
2001-04-01,16658.333333333332,668.5666666666666,4.013406703351675,652.0,3.913956978489245,40.36666666666667
2001-07-01,16243.333333333334,617.2666666666668,3.8001231274368976,633.0,3.8969833777960186,40.36666666666667
2001-10-01,15836.666666666666,585.1,3.6945906125026315,618.9666666666667,3.9084403283519262,40.1
2002-01-01,15516.333333333334,553.9333333333333,3.570001503791703,611.9333333333334,3.9438011557713377,40.300000000000004
2002-04-01,15342.333333333334,535.1,3.4877354596215264,610.6,3.979837921220154,40.63333333333333
2002-07-01,15182.0,515.3333333333334,3.3943705265006807,604.1,3.979054143064155,40.46666666666667
2002-10-01,14987.333333333334,493.59999999999997,3.2934478003647523,592.9666666666667,3.956452115119434,40.4
2003-01-01,14789.333333333334,477.09999999999997,3.225973674720519,583.6,3.94608727010458,40.333333333333336
2003-04-01,14553.0,464.1333333333334,3.189262236881285,572.1333333333333,3.931377264710598,40.199999999999996
2003-07-01,14375.0,453.8333333333333,3.1571014492753626,568.9666666666667,3.958028985507247,40.26666666666667
2003-10-01,14316.333333333334,449.2,3.13767491676174,569.4333333333333,3.9775082074087864,40.733333333333334
2004-01-01,14285.666666666666,449.73333333333335,3.148143827146091,571.1333333333333,3.9979466598221998,40.93333333333333
2004-04-01,14330.333333333334,453.8,3.1667093112511924,575.9,4.0187481100695495,40.86666666666667
2004-07-01,14336.0,458.4666666666667,3.1980096726190474,575.1333333333333,4.011811755952381,40.766666666666666
2004-10-01,14307.666666666666,454.26666666666665,3.174987768795284,573.9666666666667,4.011602171330057,40.56666666666667
2005-01-01,14265.666666666666,451.1333333333334,3.162371194242588,571.7666666666668,4.007991214337454,40.6
2005-04-01,14243.666666666666,451.09999999999997,3.167021600243383,565.1666666666666,3.967845358170883,40.4
2005-07-01,14199.333333333334,452.56666666666666,3.1872388375041085,564.4,3.9748344992722657,40.56666666666667
2005-10-01,14187.333333333334,452.56666666666666,3.189934683520511,564.8666666666667,3.9814858324326865,40.9
2006-01-01,14208.666666666666,454.8666666666666,3.2013325200581804,565.2,3.977853891990804,41.03333333333333
2006-04-01,14211.0,460.26666666666665,3.238805620059578,564.8666666666667,3.9748551591490164,41.2
2006-07-01,14153.0,460.6666666666667,3.2549047316234487,557.2666666666667,3.937445535693257,41.199999999999996
2006-10-01,14037.0,455.6666666666667,3.2461827076060885,547.4666666666667,3.9001686020279736,41.06666666666667
2007-01-01,13987.0,454.5333333333333,3.249684230595076,539.4333333333333,3.8566764376444786,41.06666666666666
2007-04-01,13921.333333333334,449.7,3.230294033138588,535.8000000000001,3.8487692749736615,41.266666666666666
2007-07-01,13828.666666666666,444.6000000000001,3.2150605023381384,526.3666666666667,3.8063443089234927,41.3
2007-10-01,13748.666666666666,441.5,3.2112204819861323,516.9333333333334,3.7598797459147555,41.199999999999996
2008-01-01,13685.666666666666,439.8333333333333,3.2138246827581165,505.9666666666667,3.6970553133448623,41.166666666666664
2008-04-01,13546.0,434.09999999999997,3.204636054923962,488.9666666666667,3.609675673015404,41.06666666666667
2008-07-01,13344.666666666666,431.3,3.232002797622022,471.5333333333333,3.533496527951242,40.800000000000004
2008-10-01,13002.0,421.93333333333334,3.245141773060555,445.3666666666666,3.4253704558273084,40.13333333333333
2009-01-01,12373.0,401.6333333333334,3.2460464990974978,412.8666666666666,3.336835582855141,39.53333333333333
2009-04-01,11860.0,380.5333333333333,3.2085441259134346,387.59999999999997,3.268128161888701,39.43333333333333
2009-07-01,11615.333333333334,366.76666666666665,3.157607759857659,371.06666666666666,3.1946277908511735,40.0
2009-10-01,11496.666666666666,363.8666666666666,3.164975355175413,365.0333333333333,3.175123224122934,40.43333333333334
2010-01-01,11441.666666666666,364.8666666666666,3.1889293517844135,359.5,3.142024763292061,40.800000000000004
2010-04-01,11505.0,368.26666666666665,3.2009271331305227,359.23333333333335,3.12241054613936,41.166666666666664
2010-07-01,11544.333333333334,371.43333333333334,3.2174515635376664,355.8,3.0820315883694738,41.233333333333334
2010-10-01,11566.0,372.8333333333333,3.22352873364459,353.6333333333334,3.0575249293907434,41.3
2011-01-01,11634.0,379.0333333333333,3.257979485416308,352.9666666666667,3.0339235573892616,41.266666666666666
2011-04-01,11698.666666666666,382.2,3.2670389788010032,354.0333333333333,3.0262708000911784,41.43333333333333
2011-07-01,11743.0,385.8333333333333,3.285645349002243,355.3,3.025632291577961,41.4
2011-10-01,11766.0,385.6666666666667,3.2778061079947873,350.5,2.97892231854496,41.53333333333333
2012-01-01,11847.0,385.59999999999997,3.2548324470330035,350.26666666666665,2.9565853521285277,41.73333333333333
2012-04-01,11907.666666666666,385.0,3.233211096492456,351.8666666666666,2.954958990006438,41.666666666666664
2012-07-01,11939.333333333334,382.3666666666666,3.202579708526439,351.1666666666667,2.94125858506896,41.56666666666667
2012-10-01,11936.666666666666,379.1666666666667,3.1764870148003355,351.76666666666665,2.946942194917621,41.56666666666667
2013-01-01,11971.0,376.8666666666666,3.1481636176314978,355.5,2.9696767187369475,41.800000000000004
2013-04-01,11979.333333333334,375.1333333333334,3.1315042573320717,358.06666666666666,2.989036674272358,41.766666666666666
2013-07-01,11988.0,374.90000000000003,3.127293960627294,359.76666666666665,3.0010566121677233,41.800000000000004
2013-10-01,12049.0,372.59999999999997,3.092372811021661,364.73333333333335,3.0270838520485794,41.93333333333333
2014-01-01,12079.333333333334,369.4666666666667,3.0586676968927646,366.1666666666667,3.031348308405541,41.733333333333334
2014-04-01,12125.0,366.6666666666667,3.0240549828178693,367.8333333333333,3.033676975945017,42.03333333333333
2014-07-01,12182.666666666666,365.8333333333333,3.0029002955018056,371.8333333333333,3.0521505964758675,42.03333333333333
2014-10-01,12253.0,367.5,2.9992654860034276,375.6333333333334,3.0656437879158847,42.13333333333333
2015-01-01,12275.333333333334,369.3333333333333,3.0087438222994622,375.8,3.061423993917341,41.9
2015-04-01,12301.333333333334,369.6333333333334,3.0048233253847827,378.8,3.079340992846304,41.8
2015-07-01,12322.333333333334,369.6333333333334,2.9997024373089514,382.8,3.1065544945491923,41.8
2015-10-01,12332.0,370.09999999999997,3.0011352578657147,386.4666666666667,3.1338523083576604,41.8
2016-01-01,12334.666666666666,370.40000000000003,3.002918603394228,389.40000000000003,3.156956004756243,41.833333333333336
2016-04-01,12316.333333333334,369.73333333333335,3.0019756962299384,388.56666666666666,3.1548891715608,41.833333333333336
2016-07-01,12326.0,365.76666666666665,2.9674400995186327,390.6333333333334,3.169181675590892,41.9
2016-10-01,12317.0,363.09999999999997,2.9479581066818215,392.0333333333333,3.182863792590187,41.93333333333333
2017-01-01,12348.333333333334,360.1666666666667,2.9167229045755163,395.0333333333333,3.199082197327574,41.86666666666667
2017-04-01,12378.0,360.90000000000003,2.9156568104701894,395.43333333333334,3.19464641568374,41.96666666666667
2017-07-01,12422.666666666666,361.4666666666667,2.9097348932059677,394.6333333333334,3.176719974240636,41.93333333333333
2017-10-01,12476.666666666666,365.8,2.9318728292813256,394.3666666666666,3.160833555971146,41.96666666666667
2018-01-01,12551.333333333334,366.5333333333333,2.9202740744675197,394.4666666666667,3.142826791310352,42.13333333333333
2018-04-01,12624.666666666666,368.8666666666666,2.9217933146749746,392.93333333333334,3.1124254105718965,42.233333333333334
2018-07-01,12691.333333333334,369.93333333333334,2.914850028891107,392.26666666666665,3.0908231338971475,42.1
2018-10-01,12744.333333333334,370.59999999999997,2.907959092930191,391.1333333333334,3.0690764522794445,42.03333333333333
2019-01-01,12786.666666666666,374.73333333333335,2.9306569343065694,390.1666666666667,3.0513555787278417,41.800000000000004
2019-04-01,12783.333333333334,375.23333333333335,2.9353324641460237,387.40000000000003,3.030508474576271,41.63333333333333
2019-07-01,12788.666666666666,377.40000000000003,2.9510504092164944,386.7,3.023771047281447,41.5
2019-10-01,12756.666666666666,375.8666666666666,2.9464332375228635,385.6333333333334,3.0229945126731126,41.4
2020-01-01,12724.0,374.09999999999997,2.9401131719585036,384.0,3.0179188934297394,41.333333333333336
2020-04-01,11647.333333333334,368.59999999999997,3.164672886497624,330.93333333333334,2.8412798351554005,39.23333333333333
2020-07-01,12009.666666666666,366.5,3.0517083460545673,355.3333333333333,2.9587276915817813,40.96666666666667
2020-10-01,12119.0,365.0,3.011799653436752,365.90000000000003,3.0192260087465965,41.4
2021-01-01,12181.0,366.26666666666665,3.0068686205292394,368.73333333333335,3.027118736830583,41.53333333333333
2021-04-01,12218.666666666666,367.3666666666666,3.006601920558708,370.06666666666666,3.028699257965954,41.5
2021-07-01,12350.333333333334,370.3666666666666,2.99883943753205,375.5,3.040403767779547,41.36666666666667
2021-10-01,12496.0,374.2,2.9945582586427655,380.5333333333333,3.0452411438326927,41.43333333333333
2022-01-01,12613.0,378.1333333333334,2.997965062501652,382.76666666666665,3.0346996485107955,41.4
2022-04-01,12742.666666666666,384.93333333333334,3.020822433818144,380.93333333333334,2.9894318300721987,41.1
2022-07-01,12827.0,393.4666666666667,3.0674878511473196,377.40000000000003,2.9422312309971157,40.96666666666667
2022-10-01,12891.333333333334,398.59999999999997,3.0919997931426795,373.1333333333334,2.8944510523866165,40.833333333333336
2023-01-01,12896.333333333334,399.5333333333333,3.09803820207294,366.09999999999997,2.838791387732947,40.800000000000004
2023-04-01,12876.0,395.90000000000003,3.074712643678161,359.23333333333335,2.7899451175313246,40.7
2023-07-01,12865.0,393.5333333333333,3.05894545925638,354.76666666666665,2.7576110895193677,40.733333333333334
2023-10-01,12856.0,394.1333333333334,3.0657539929475215,351.9666666666667,2.7377618751296415,40.53333333333333
2024-01-01,12854.333333333334,396.3333333333333,3.083266343386147,349.5333333333333,2.7191867852604825,40.5
2024-04-01,12824.0,394.6666666666667,3.077562902890414,344.6333333333334,2.6874090247452695,40.73333333333333
2024-07-01,12778.666666666666,394.76666666666665,3.0892633555926543,340.59999999999997,2.66537979966611,40.733333333333334
2024-10-01,12700.333333333334,391.0,3.078659352772893,338.90000000000003,2.66843389937272,40.766666666666666
2025-01-01,12670.0,386.3333333333333,3.0491975795843196,337.5,2.663772691397001,40.93333333333334
2025-04-01,12649.666666666666,382.43333333333334,3.023268070304883,339.40000000000003,2.6830746528235268,40.96666666666667
2025-07-01,12617.333333333334,375.5333333333333,2.976328859769629,339.09999999999997,2.6875726513790545,41.03333333333333
2025-10-01,12592.0,370.1333333333334,2.939432443879712,335.76666666666665,2.6665078356628547,41.166666666666664
2026-01-01,12583.0,368.8333333333333,2.9312034755887573,333.7,2.651990781212747,41.43333333333333
